gene_id,symbol,entrez_gid,transcript_name,ensembl_tid,full_name
"2363","MROH8","140699","MROH8-204","ENST00000417458","maestro heat like repeat family member 8"
"2364","NOP56","10528","NOP56-201","ENST00000329276","NOP56 ribonucleoprotein"
"2365","MANBAL","63905","MANBAL-202","ENST00000373606","mannosidase beta like"
"2366","IDH3B","3420","IDH3B-204","ENST00000466494","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta"
"2367","MAPRE1","22919","MAPRE1-201","ENST00000375571","microtubule associated protein RP/EB family member 1"
"2368","JAG1","182","JAG1-201","ENST00000254958","jagged canonical Notch ligand 1"
"2369","CDK5RAP1","51654","CDK5RAP1-204","ENST00000427097","CDK5 regulatory subunit associated protein 1"
"2370","SNTA1","6640","SNTA1-201","ENST00000217381","syntrophin alpha 1"
"2371","OXT","5020","OXT-201","ENST00000217386","oxytocin/neurophysin I prepropeptide"
"2372","TTI1","9675","TTI1-202","ENST00000373448","TELO2 interacting protein 1"
"2373","E2F1","1869","E2F1-201","ENST00000343380","E2F transcription factor 1"
"2374","RPRD1B","58490","RPRD1B-201","ENST00000373433","regulation of nuclear pre-mRNA domain containing 1B"
"2375","PXMP4","11264","PXMP4-203","ENST00000409299","peroxisomal membrane protein 4"
"2376","CHMP4B","128866","CHMP4B-201","ENST00000217402","charged multivesicular body protein 4B"
"2377","BPI","671","BPI-206","ENST00000642449","bactericidal permeability increasing protein"
"2378","CST9L","128821","CST9L-201","ENST00000376979","cystatin 9 like"
"2379","SLC32A1","140679","SLC32A1-201","ENST00000217420","solute carrier family 32 member 1"
"2380","CST3","1471","CST3-203","ENST00000398411","cystatin C"
"2381","ASIP","434","ASIP-202","ENST00000568305","agouti signaling protein"
"2382","CST4","1472","CST4-201","ENST00000217423","cystatin S"
"2383","ACTR5","79913","ACTR5-201","ENST00000243903","actin related protein 5"
"2384","WFDC2","10406","WFDC2-204","ENST00000372676","WAP four-disulfide core domain 2"
"2385","PPP1R16B","26051","PPP1R16B-201","ENST00000299824","protein phosphatase 1 regulatory subunit 16B"
"2386","SPINT3","10816","SPINT3-201","ENST00000217428","serine peptidase inhibitor, Kunitz type 3"
"2387","FAM83D","81610","FAM83D-201","ENST00000619304","family with sequence similarity 83 member D"
"2388","DHX35","60625","DHX35-203","ENST00000373325","DEAH-box helicase 35"
"2389","DNTTIP1","116092","DNTTIP1-201","ENST00000372622","deoxynucleotidyltransferase terminal interacting protein 1"
"2390","MAP1LC3A","84557","MAP1LC3A-202","ENST00000374837","microtubule associated protein 1 light chain 3 alpha"
"2391","SYNDIG1","79953","SYNDIG1-201","ENST00000376862","synapse differentiation inducing 1"
"2392","PIGU","128869","PIGU-201","ENST00000217446","phosphatidylinositol glycan anchor biosynthesis class U"
"2393","TNNC2","7125","TNNC2-201","ENST00000372555","troponin C2, fast skeletal type"
"2394","ACOT8","10005","ACOT8-201","ENST00000217455","acyl-CoA thioesterase 8"
"2395","APMAP","57136","APMAP-202","ENST00000451442","adipocyte plasma membrane associated protein"
"2396","CELF4","56853","CELF4-204","ENST00000586009","CUGBP Elav-like family member 4"
"2397","ZNF516","9658","ZNF516-201","ENST00000443185","zinc finger protein 516"
"2398","CDH20","28316","CDH20-201","ENST00000262717","cadherin 20"
"2399","ADNP2","22850","ADNP2-201","ENST00000262198","ADNP homeobox 2"
"2400","USP14","9097","USP14-208","ENST00000582707","ubiquitin specific peptidase 14"
"2401","VAPA","9218","VAPA-202","ENST00000400000","VAMP associated protein A"
"2402","METTL4","64863","METTL4-201","ENST00000319888","methyltransferase like 4"
"2403","LPIN2","9663","LPIN2-201","ENST00000261596","lipin 2"
"2404","SMCHD1","23347","SMCHD1-201","ENST00000320876","structural maintenance of chromosomes flexible hinge domain containing 1"
"2405","MYOM1","8736","MYOM1-202","ENST00000356443","myomesin 1"
"2406","MYL12A","10627","MYL12A-207","ENST00000579226","myosin light chain 12A"
"2407","CEP76","79959","CEP76-209","ENST00000590143","centrosomal protein 76"
"2408","ST8SIA5","29906","ST8SIA5-203","ENST00000538168","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
"2409","CEP192","55125","CEP192-214","ENST00000589596","centrosomal protein 192"
"2410","RNMT","8731","RNMT-203","ENST00000543302","RNA guanine-7 methyltransferase"
"2411","SMAD7","4092","SMAD7-201","ENST00000262158","SMAD family member 7"
"2412","LIPG","9388","LIPG-203","ENST00000577628","lipase G, endothelial type"
"2413","LAMA1","284217","LAMA1-201","ENST00000389658","laminin subunit alpha 1"
"2414","ANKRD12","23253","ANKRD12-209","ENST00000585234","ankyrin repeat domain 12"
"2415","NOL4","8715","NOL4-201","ENST00000261592","nucleolar protein 4"
"2416","POLI","11201","POLI-208","ENST00000579534","DNA polymerase iota"
"2417","MIB1","57534","MIB1-204","ENST00000578646","mindbomb E3 ubiquitin protein ligase 1"
"2418","RBBP8","5932","RBBP8-215","ENST00000583700","RB binding protein 8, endonuclease"
"2419","RIOK3","8780","RIOK3-201","ENST00000339486","RIO kinase 3"
"2420","CSTF2","1478","CSTF2-201","ENST00000372972","cleavage stimulation factor subunit 2"
"2421","H2BW2","286436","H2BW2-201","ENST00000355016","H2B.W histone 2"
"2422","MXRA5","25878","MXRA5-201","ENST00000217939","matrix remodeling associated 5"
"2423","VSIG1","340547","VSIG1-201","ENST00000217957","V-set and immunoglobulin domain containing 1"
"2424","PSMD10","5716","PSMD10-201","ENST00000217958","proteasome 26S subunit, non-ATPase 10"
"2425","ATG4A","115201","ATG4A-203","ENST00000372232","autophagy related 4A cysteine peptidase"
"2426","STS","412","STS-204","ENST00000664306","steroid sulfatase"
"2427","TBL1X","6907","TBL1X-206","ENST00000441088","transducin beta like 1 X-linked"
"2428","GPR143","4935","GPR143-203","ENST00000467482","G protein-coupled receptor 143"
"2429","PGRMC1","10857","PGRMC1-201","ENST00000217971","progesterone receptor membrane component 1"
"2430","POLA1","5422","POLA1-207","ENST00000672178","DNA polymerase alpha 1, catalytic subunit"
"2431","MID1","4281","MID1-202","ENST00000380779","midline 1"
"2432","NKAP","79576","NKAP-201","ENST00000371410","NFKB activating protein"
"2433","RHOXF1","158800","RHOXF1-201","ENST00000217999","Rhox homeobox family member 1"
"2434","NXT2","55916","NXT2-201","ENST00000218004","nuclear transport factor 2 like export factor 2"
"2435","GUCY2F","2986","GUCY2F-201","ENST00000218006","guanylate cyclase 2F, retinal"
"2436","ATP1B4","23439","ATP1B4-201","ENST00000218008","ATPase Na+/K+ transporting family member beta 4"
"2437","ALG13","79868","ALG13-218","ENST00000487141","ALG13 UDP-N-acetylglucosaminyltransferase subunit"
"2438","PRPS2","5634","PRPS2-201","ENST00000380663","phosphoribosyl pyrophosphate synthetase 2"
"2439","TLR8","51311","TLR8-201","ENST00000218032","toll like receptor 8"
"2440","MOSPD1","56180","MOSPD1-203","ENST00000370783","motile sperm domain containing 1"
"2441","AMMECR1","9949","AMMECR1-201","ENST00000262844","AMMECR nuclear protein 1"
"2442","CHRDL1","91851","CHRDL1-202","ENST00000372045","chordin like 1"
"2443","WDR13","64743","WDR13-204","ENST00000470124","WD repeat domain 13"
"2444","SUV39H1","6839","SUV39H1-202","ENST00000376687","suppressor of variegation 3-9 homolog 1"
"2445","PAGE4","9506","PAGE4-202","ENST00000376141","PAGE family member 4"
"2446","SRPX","8406","SRPX-201","ENST00000378533","sushi repeat containing protein X-linked"
"2447","GLRA2","2742","GLRA2-201","ENST00000218075","glycine receptor alpha 2"
"2448","XIAP","331","XIAP-205","ENST00000434753","X-linked inhibitor of apoptosis"
"2449","STAG2","10735","STAG2-206","ENST00000394477","stromal antigen 2"
"2450","ATP11C","286410","ATP11C-203","ENST00000370557","ATPase phospholipid transporting 11C"
"2451","MCF2","4168","MCF2-209","ENST00000520602","MCF.2 cell line derived transforming sequence"
"2452","F9","2158","F9-203","ENST00000479617","coagulation factor IX"
"2453","ABCD1","215","ABCD1-201","ENST00000218104","ATP binding cassette subfamily D member 1"
"2454","CCDC22","28952","CCDC22-201","ENST00000376227","coiled-coil domain containing 22"
"2455","CACNA1F","778","CACNA1F-202","ENST00000376251","calcium voltage-gated channel subunit alpha1 F"
"2456","SYP","6855","SYP-201","ENST00000263233","synaptophysin"
"2457","PLP2","5355","PLP2-201","ENST00000376322","proteolipid protein 2"
"2458","BMX","660","BMX-203","ENST00000357607","BMX non-receptor tyrosine kinase"
"2459","LUZP4","51213","LUZP4-202","ENST00000371921","leucine zipper protein 4"
"2460","PLS3","5358","PLS3-207","ENST00000489283","plastin 3"
"2461","RENBP","5973","RENBP-202","ENST00000393700","renin binding protein"
"2462","ELF4","2000","ELF4-202","ENST00000335997","E74 like ETS transcription factor 4"
"2463","SMARCA1","6594","SMARCA1-205","ENST00000617310","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"2464","MTMR8","55613","MTMR8-201","ENST00000374852","myotubularin related protein 8"
"2465","ASB9","140462","ASB9-202","ENST00000380485","ankyrin repeat and SOCS box containing 9"
"2466","ZC3H12B","340554","ZC3H12B-202","ENST00000617377","zinc finger CCCH-type containing 12B"
"2467","RBBP7","5931","RBBP7-206","ENST00000425696","RB binding protein 7, chromatin remodeling factor"
"2468","PPP1R2C","80316","PPP1R2C-201","ENST00000378131","PPP1R2C family member C"
"2469","KCND1","3750","KCND1-202","ENST00000376477","potassium voltage-gated channel subfamily D member 1"
"2470","SLC25A14","9016","SLC25A14-212","ENST00000495156","solute carrier family 25 member 14"
"2471","FMR1","2332","FMR1-208","ENST00000440235","FMRP translational regulator 1"
"2472","PIM2","11040","PIM2-201","ENST00000376509","Pim-2 proto-oncogene, serine/threonine kinase"
"2473","SCML2","10389","SCML2-201","ENST00000251900","Scm polycomb group protein like 2"
"2474","SLC35A2","7355","SLC35A2-215","ENST00000635285","solute carrier family 35 member A2"
"2475","PQBP1","10084","PQBP1-218","ENST00000651767","polyglutamine binding protein 1"
"2476","RS1","6247","RS1-201","ENST00000379984","retinoschisin 1"
"2477","PCSK1N","27344","PCSK1N-201","ENST00000218230","proprotein convertase subtilisin/kexin type 1 inhibitor"
"2478","EMD","2010","EMD-202","ENST00000369842","emerin"
"2479","TAZ","6901","TAZ-217","ENST00000613634","tafazzin"
"2480","PGK1","5230","PGK1-206","ENST00000644362","phosphoglycerate kinase 1"
"2481","GATA1","2623","GATA1-202","ENST00000376670","GATA binding protein 1"
"2482","MAGT1","84061","MAGT1-201","ENST00000358075","magnesium transporter 1"
"2483","PHEX","5251","PHEX-201","ENST00000379374","phosphate regulating endopeptidase homolog X-linked"
"2484","UBL4A","8266","UBL4A-202","ENST00000369660","ubiquitin like 4A"
"2485","CD99L2","83692","CD99L2-201","ENST00000346693","CD99 molecule like 2"
"2486","EEA1","8411","EEA1-201","ENST00000322349","early endosome antigen 1"
"2487","GPR50","9248","GPR50-201","ENST00000218316","G protein-coupled receptor 50"
"2488","RP2","6102","RP2-201","ENST00000218340","RP2 activator of ARL3 GTPase"
"2489","JADE3","9767","JADE3-201","ENST00000424392","jade family PHD finger 3"
"2490","CDK16","5127","CDK16-210","ENST00000517997","cyclin dependent kinase 16"
"2491","USP11","8237","USP11-207","ENST00000478596","ubiquitin specific peptidase 11"
"2492","PCYT1B","9468","PCYT1B-203","ENST00000379145","phosphate cytidylyltransferase 1, choline, beta"
"2493","BRS3","680","BRS3-201","ENST00000370648","bombesin receptor subtype 3"
"2494","HTATSF1","27336","HTATSF1-203","ENST00000448450","HIV-1 Tat specific factor 1"
"2495","VGLL1","51442","VGLL1-201","ENST00000370634","vestigial like family member 1"
"2496","CD40LG","959","CD40LG-202","ENST00000370629","CD40 ligand"
"2497","TIMP1","7076","TIMP1-201","ENST00000218388","TIMP metallopeptidase inhibitor 1"
"2498","KLHL4","56062","KLHL4-203","ENST00000652270","kelch like family member 4"
"2499","GABRE","2564","GABRE-201","ENST00000370328","gamma-aminobutyric acid type A receptor subunit epsilon"
"2500","PCDH11X","27328","PCDH11X-201","ENST00000298274","protocadherin 11 X-linked"
"2501","FGD1","2245","FGD1-201","ENST00000375135","FYVE, RhoGEF and PH domain containing 1"
"2502","PIN4","5303","PIN4-209","ENST00000664196","peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"2503","PORCN","64840","PORCN-203","ENST00000359882","porcupine O-acyltransferase"
"2504","ITIH6","347365","ITIH6-201","ENST00000218436","inter-alpha-trypsin inhibitor heavy chain family member 6"
"2505","MAGED2","10916","MAGED2-206","ENST00000375068","MAGE family member D2"
"2506","RBM3","5935","RBM3-205","ENST00000472897","RNA binding motif protein 3"
"2507","KLF8","11279","KLF8-205","ENST00000476898","Kruppel like factor 8"
"2508","SRPX2","27286","SRPX2-209","ENST00000640889","sushi repeat containing protein X-linked 2"
"2509","SYTL4","94121","SYTL4-204","ENST00000372989","synaptotagmin like 4"
"2510","ZDHHC15","158866","ZDHHC15-201","ENST00000373367","zinc finger DHHC-type palmitoyltransferase 15"
"2511","CENPI","2491","CENPI-203","ENST00000403304","centromere protein I"
"2512","DRP2","1821","DRP2-203","ENST00000402866","dystrophin related protein 2"
"2513","TAF7L","54457","TAF7L-203","ENST00000372907","TATA-box binding protein associated factor 7 like"
"2514","PBDC1","51260","PBDC1-202","ENST00000373358","polysaccharide biosynthesis domain containing 1"
"2515","GLA","2717","GLA-210","ENST00000674142","galactosidase alpha"
"2516","ARMCX3","51566","ARMCX3-201","ENST00000341189","armadillo repeat containing X-linked 3"
"2517","BEX4","56271","BEX4-202","ENST00000372695","brain expressed X-linked 4"
"2518","RUBCNL","80183","RUBCNL-205","ENST00000389908","rubicon like autophagy enhancer"
"2519","NALCN","259232","NALCN-201","ENST00000251127","sodium leak channel, non-selective"
"2520","FGF14","2259","FGF14-201","ENST00000376131","fibroblast growth factor 14"
"2521","HTR2A","3356","HTR2A-201","ENST00000378688","5-hydroxytryptamine receptor 2A"
"2522","NDFIP2","54602","NDFIP2-201","ENST00000218652","Nedd4 family interacting protein 2"
"2523","TNFSF13B","10673","TNFSF13B-204","ENST00000486502","TNF superfamily member 13b"
"2524","FNDC3A","22862","FNDC3A-204","ENST00000492622","fibronectin type III domain containing 3A"
"2525","MLNR","2862","MLNR-201","ENST00000218721","motilin receptor"
"2526","CDADC1","81602","CDADC1-201","ENST00000251108","cytidine and dCMP deaminase domain containing 1"
"2527","CAB39L","81617","CAB39L-202","ENST00000355854","calcium binding protein 39 like"
"2528","KLF5","688","KLF5-204","ENST00000477333","Kruppel like factor 5"
"2529","STK24","8428","STK24-208","ENST00000539966","serine/threonine kinase 24"
"2530","ACP5","54","ACP5-212","ENST00000648477","acid phosphatase 5, tartrate resistant"
"2531","DNAJC3","5611","DNAJC3-202","ENST00000602402","DnaJ heat shock protein family (Hsp40) member C3"
"2532","UGGT2","55757","UGGT2-203","ENST00000376747","UDP-glucose glycoprotein glucosyltransferase 2"
"2533","ARHGEF7","8874","ARHGEF7-216","ENST00000483540","Rho guanine nucleotide exchange factor 7"
"2534","FGF9","2254","FGF9-201","ENST00000382353","fibroblast growth factor 9"
"2535","SGCG","6445","SGCG-201","ENST00000218867","sarcoglycan gamma"
"2536","SUPT20H","55578","SUPT20H-217","ENST00000484078","SPT20 homolog, SAGA complex component"
"2537","MRPS31","10240","MRPS31-201","ENST00000323563","mitochondrial ribosomal protein S31"
"2538","SLC25A15","10166","SLC25A15-204","ENST00000478827","solute carrier family 25 member 15"
"2539","KPNA3","3839","KPNA3-201","ENST00000261667","karyopherin subunit alpha 3"
"2540","FLT1","2321","FLT1-201","ENST00000282397","fms related receptor tyrosine kinase 1"
"2541","RGCC","28984","RGCC-201","ENST00000379359","regulator of cell cycle"
"2542","VWA8","23078","VWA8-203","ENST00000379310","von Willebrand factor A domain containing 8"
"2543","DGKH","160851","DGKH-202","ENST00000337343","diacylglycerol kinase eta"
"2544","KATNAL1","84056","KATNAL1-201","ENST00000380615","katanin catalytic subunit A1 like 1"
"2545","INTS6","26512","INTS6-208","ENST00000476666","integrator complex subunit 6"
"2546","ACOD1","730249","ACOD1-201","ENST00000377462","aconitate decarboxylase 1"
"2547","MEDAG","84935","MEDAG-201","ENST00000380482","mesenteric estrogen dependent adipogenesis"
"2548","TSC22D1","8848","TSC22D1-201","ENST00000261489","TSC22 domain family member 1"
"2549","OLFM4","10562","OLFM4-201","ENST00000219022","olfactomedin 4"
"2550","MSLN","10232","MSLN-205","ENST00000563941","mesothelin"
"2551","MGRN1","23295","MGRN1-215","ENST00000591895","mahogunin ring finger 1"
"2552","ZNF629","23361","ZNF629-201","ENST00000262525","zinc finger protein 629"
"2553","TRADD","8717","TRADD-201","ENST00000345057","TNFRSF1A associated via death domain"
"2554","HSF4","3299","HSF4-222","ENST00000522870","heat shock transcription factor 4"
"2555","CORO1A","11151","CORO1A-205","ENST00000563778","coronin 1A"
"2556","MAPK3","5595","MAPK3-201","ENST00000263025","mitogen-activated protein kinase 3"
"2557","GDPD3","79153","GDPD3-203","ENST00000565704","glycerophosphodiester phosphodiesterase domain containing 3"
"2558","ELMO3","79767","ELMO3-201","ENST00000360833","engulfment and cell motility 3"
"2559","MT4","84560","MT4-201","ENST00000219162","metallothionein 4"
"2560","PHKB","5257","PHKB-207","ENST00000566037","phosphorylase kinase regulatory subunit beta"
"2561","LYRM1","57149","LYRM1-206","ENST00000564457","LYR motif containing 1"
"2562","NUTF2","10204","NUTF2-201","ENST00000219169","nuclear transport factor 2"
"2563","NUP93","9688","NUP93-201","ENST00000308159","nucleoporin 93"
"2564","CENPT","80152","CENPT-233","ENST00000569862","centromere protein T"
"2565","TSNAXIP1","55815","TSNAXIP1-202","ENST00000415766","translin associated factor X interacting protein 1"
"2566","NFAT5","10725","NFAT5-204","ENST00000426654","nuclear factor of activated T cells 5"
"2567","LONP2","83752","LONP2-201","ENST00000285737","lon peptidase 2, peroxisomal"
"2568","N4BP1","9683","N4BP1-201","ENST00000262384","NEDD4 binding protein 1"
"2569","CBLN1","869","CBLN1-201","ENST00000219197","cerebellin 1 precursor"
"2570","ARL2BP","23568","ARL2BP-201","ENST00000219204","ADP ribosylation factor like GTPase 2 binding protein"
"2571","PLLP","51090","PLLP-203","ENST00000564376","plasmolipin"
"2572","ZNF423","23090","ZNF423-203","ENST00000561648","zinc finger protein 423"
"2573","CCL22","6367","CCL22-201","ENST00000219235","C-C motif chemokine ligand 22"
"2574","DHODH","1723","DHODH-205","ENST00000572887","dihydroorotate dehydrogenase (quinone)"
"2575","CCL17","6361","CCL17-201","ENST00000219244","C-C motif chemokine ligand 17"
"2576","CTCF","10664","CTCF-201","ENST00000264010","CCCTC-binding factor"
"2577","ACD","65057","ACD-214","ENST00000620761","ACD shelterin complex subunit and telomerase recruitment factor"
"2578","POLR2C","5432","POLR2C-201","ENST00000219252","RNA polymerase II subunit C"
"2579","PARD6A","50855","PARD6A-203","ENST00000602551","par-6 family cell polarity regulator alpha"
"2580","ZNF821","55565","ZNF821-212","ENST00000564943","zinc finger protein 821"
"2581","MMP15","4324","MMP15-201","ENST00000219271","matrix metallopeptidase 15"
"2582","USB1","79650","USB1-205","ENST00000561743","U6 snRNA biogenesis phosphodiesterase 1"
"2583","CYB5B","80777","CYB5B-202","ENST00000514123","cytochrome b5 type B"
"2584","CCDC113","29070","CCDC113-205","ENST00000569374","coiled-coil domain containing 113"
"2585","PRSS54","221191","PRSS54-204","ENST00000567164","serine protease 54"
"2586","NME3","4832","NME3-201","ENST00000219302","NME/NM23 nucleoside diphosphate kinase 3"
"2587","NDRG4","65009","NDRG4-248","ENST00000568999","NDRG family member 4"
"2588","PSMD7","5713","PSMD7-201","ENST00000219313","proteasome 26S subunit, non-ATPase 7"
"2589","SETD6","79918","SETD6-202","ENST00000310682","SET domain containing 6, protein lysine methyltransferase"
"2590","SLC38A7","55238","SLC38A7-215","ENST00000570101","solute carrier family 38 member 7"
"2591","VAC14","55697","VAC14-209","ENST00000567648","VAC14 component of PIKFYVE complex"
"2592","HAS3","3038","HAS3-205","ENST00000569188","hyaluronan synthase 3"
"2593","TANGO6","79613","TANGO6-207","ENST00000564180","transport and golgi organization 6 homolog"
"2594","COG4","25839","COG4-211","ENST00000564415","component of oligomeric golgi complex 4"
"2595","SMPD3","55512","SMPD3-201","ENST00000219334","sphingomyelin phosphodiesterase 3"
"2596","SLC7A6OS","84138","SLC7A6OS-204","ENST00000568315","solute carrier family 7 member 6 opposite strand"
"2597","SLC7A6","9057","SLC7A6-217","ENST00000648130","solute carrier family 7 member 6"
"2598","PLA2G15","23659","PLA2G15-202","ENST00000413021","phospholipase A2 group XV"
"2599","ESRP2","80004","ESRP2-210","ENST00000565858","epithelial splicing regulatory protein 2"
"2600","FA2H","79152","FA2H-202","ENST00000562145","fatty acid 2-hydroxylase"
"2601","WDR59","79726","WDR59-201","ENST00000262144","WD repeat domain 59"
"2602","MON1B","22879","MON1B-210","ENST00000569610","MON1 homolog B, secretory trafficking associated"
"2603","AXIN1","8312","AXIN1-204","ENST00000461023","axin 1"
"2604","HCFC1R1","54985","HCFC1R1-201","ENST00000248089","host cell factor C1 regulator 1"
"2605","NPRL3","8131","NPRL3-210","ENST00000610509","NPR3 like, GATOR1 complex subunit"
"2606","MPG","4350","MPG-204","ENST00000436333","N-methylpurine DNA glycosylase"
"2607","NECAB2","54550","NECAB2-201","ENST00000305202","N-terminal EF-hand calcium binding protein 2"
"2608","HSDL1","83693","HSDL1-208","ENST00000619773","hydroxysteroid dehydrogenase like 1"
"2609","TAF1C","9013","TAF1C-201","ENST00000341690","TATA-box binding protein associated factor, RNA polymerase I subunit C"
"2610","NAGPA","51172","NAGPA-201","ENST00000312251","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"
"2611","WFDC1","58189","WFDC1-201","ENST00000219454","WAP four-disulfide core domain 1"
"2612","COTL1","23406","COTL1-201","ENST00000262428","coactosin like F-actin binding protein 1"
"2613","USP10","9100","USP10-201","ENST00000219473","ubiquitin specific peptidase 10"
"2614","CRISPLD2","83716","CRISPLD2-201","ENST00000262424","cysteine rich secretory protein LCCL domain containing 2"
"2615","TSC2","7249","TSC2-201","ENST00000219476","TSC complex subunit 2"
"2616","ZNF500","26048","ZNF500-201","ENST00000219478","zinc finger protein 500"
"2617","NME4","4833","NME4-203","ENST00000397722","NME/NM23 nucleoside diphosphate kinase 4"
"2618","ABCC1","4363","ABCC1-202","ENST00000399410","ATP binding cassette subfamily C member 1"
"2619","LMF1","64788","LMF1-201","ENST00000262301","lipase maturation factor 1"
"2620","FOXF1","2294","FOXF1-201","ENST00000262426","forkhead box F1"
"2621","CIAO3","64428","CIAO3-201","ENST00000251588","cytosolic iron-sulfur assembly component 3"
"2622","MTHFSD","64779","MTHFSD-201","ENST00000360900","methenyltetrahydrofolate synthetase domain containing"
"2623","CLCN7","1186","CLCN7-205","ENST00000563642","chloride voltage-gated channel 7"
"2624","HAGHL","84264","HAGHL-204","ENST00000549114","hydroxyacylglutathione hydrolase like"
"2625","ANTKMT","65990","ANTKMT-205","ENST00000566525","adenine nucleotide translocase lysine methyltransferase"
"2626","SLC7A5","8140","SLC7A5-203","ENST00000565644","solute carrier family 7 member 5"
"2627","METRN","79006","METRN-204","ENST00000568223","meteorin, glial cell differentiation regulator"
"2628","STUB1","10273","STUB1-205","ENST00000565677","STIP1 homology and U-box containing protein 1"
"2629","RHBDL1","9028","RHBDL1-202","ENST00000352681","rhomboid like 1"
"2630","NUBP1","4682","NUBP1-207","ENST00000574334","nucleotide binding protein 1"
"2631","UBE2I","7329","UBE2I-202","ENST00000355803","ubiquitin conjugating enzyme E2 I"
"2632","ZP2","7783","ZP2-204","ENST00000574091","zona pellucida glycoprotein 2"
"2633","MEFV","4210","MEFV-201","ENST00000219596","MEFV innate immuity regulator, pyrin"
"2634","CRYM","1428","CRYM-208","ENST00000574448","crystallin mu"
"2635","EEF2K","29904","EEF2K-201","ENST00000263026","eukaryotic elongation factor 2 kinase"
"2636","CAPN15","6650","CAPN15-202","ENST00000562370","calpain 15"
"2637","PIEZO1","9780","PIEZO1-201","ENST00000301015","piezo type mechanosensitive ion channel component 1"
"2638","GSPT1","2935","GSPT1-202","ENST00000434724","G1 to S phase transition 1"
"2639","CLUAP1","23059","CLUAP1-212","ENST00000576634","clusterin associated protein 1"
"2640","UBFD1","56061","UBFD1-201","ENST00000395878","ubiquitin family domain containing 1"
"2641","PRSS33","260429","PRSS33-201","ENST00000293851","serine protease 33"
"2642","EARS2","124454","EARS2-201","ENST00000449606","glutamyl-tRNA synthetase 2, mitochondrial"
"2643","ELOB","6923","ELOB-201","ENST00000262306","elongin B"
"2644","GGA2","23062","GGA2-201","ENST00000309859","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"2645","AQP8","343","AQP8-202","ENST00000566125","aquaporin 8"
"2646","CPPED1","55313","CPPED1-202","ENST00000381774","calcineurin like phosphoesterase domain containing 1"
"2647","USP31","57478","USP31-201","ENST00000219689","ubiquitin specific peptidase 31"
"2648","HMOX2","3163","HMOX2-212","ENST00000575051","heme oxygenase 2"
"2649","DNAJA3","9093","DNAJA3-201","ENST00000262375","DnaJ heat shock protein family (Hsp40) member A3"
"2650","BFAR","51283","BFAR-201","ENST00000261658","bifunctional apoptosis regulator"
"2651","SALL1","6299","SALL1-201","ENST00000251020","spalt like transcription factor 1"
"2652","TOX3","27324","TOX3-202","ENST00000407228","TOX high mobility group box family member 3"
"2653","RBL2","5934","RBL2-208","ENST00000567964","RB transcriptional corepressor like 2"
"2654","QPRT","23475","QPRT-203","ENST00000449759","quinolinate phosphoribosyltransferase"
"2655","XYLT1","64131","XYLT1-201","ENST00000261381","xylosyltransferase 1"
"2656","PYCARD","29108","PYCARD-201","ENST00000247470","PYD and CARD domain containing"
"2657","RPGRIP1L","23322","RPGRIP1L-212","ENST00000647211","RPGRIP1 like"
"2658","MAZ","4150","MAZ-203","ENST00000545521","MYC associated zinc finger protein"
"2659","STX4","6810","STX4-203","ENST00000457779","syntaxin 4"
"2660","CDIPT","10423","CDIPT-201","ENST00000219789","CDP-diacylglycerol--inositol 3-phosphatidyltransferase"
"2661","BCKDK","10295","BCKDK-204","ENST00000394951","branched chain keto acid dehydrogenase kinase"
"2662","KAT8","84148","KAT8-208","ENST00000652764","lysine acetyltransferase 8"
"2663","IL21R","50615","IL21R-201","ENST00000337929","interleukin 21 receptor"
"2664","SYT17","51760","SYT17-209","ENST00000570264","synaptotagmin 17"
"2665","TMC5","79838","TMC5-207","ENST00000563675","transmembrane channel like 5"
"2666","CCP110","9738","CCP110-203","ENST00000396212","centriolar coiled-coil protein 110"
"2667","VPS35L","57020","VPS35L-219","ENST00000544670","VPS35 endosomal protein sorting factor like"
"2668","SLC6A2","6530","SLC6A2-209","ENST00000568943","solute carrier family 6 member 2"
"2669","RNF40","9810","RNF40-205","ENST00000563909","ring finger protein 40"
"2670","KNOP1","400506","KNOP1-201","ENST00000219837","lysine rich nucleolar protein 1"
"2671","AQP9","366","AQP9-202","ENST00000536493","aquaporin 9"
"2672","AAGAB","79719","AAGAB-201","ENST00000261880","alpha and gamma adaptin binding protein"
"2673","IQCH","64799","IQCH-203","ENST00000512104","IQ motif containing H"
"2674","LACTB","114294","LACTB-201","ENST00000261893","lactamase beta"
"2675","CORO2B","10391","CORO2B-201","ENST00000261861","coronin 2B"
"2676","CSK","1445","CSK-201","ENST00000220003","C-terminal Src kinase"
"2677","HERC1","8925","HERC1-201","ENST00000443617","HECT and RLD domain containing E3 ubiquitin protein ligase family member 1"
"2678","TRIP4","9325","TRIP4-208","ENST00000559833","thyroid hormone receptor interactor 4"
"2679","MTFMT","123263","MTFMT-205","ENST00000559633","mitochondrial methionyl-tRNA formyltransferase"
"2680","RASL12","51285","RASL12-203","ENST00000434605","RAS like family 12"
